13310.0000,853.9043,0.0530,853.7821,854.0060,222.3065,0.6346,220.4645,223.6259,218.6347,0.3593,217.7295,219.4394,218.1872,0.3863,217.4764,218.8465,242.1466,0.3226,241.5900,242.7100,1
13822.0000,853.7130,0.0871,853.5568,853.8691,220.9342,0.5322,219.3241,222.1052,217.3887,0.4204,216.5278,218.5394,216.7523,0.4065,216.0265,217.7964,241.0420,0.3214,240.4900,241.5900,1
14334.0000,853.4354,0.0827,853.2823,853.6068,219.6451,0.5213,218.1738,220.9747,216.1506,0.3266,215.4582,217.3495,215.5170,0.2776,214.9066,216.2065,239.9176,0.3295,239.3500,240.4800,1
14846.0000,853.1835,0.0997,852.9534,853.3546,218.7971,0.5809,217.2335,220.4245,214.9475,0.3635,214.2288,215.8481,214.3339,0.3643,213.6669,215.1466,238.7862,0.3261,238.2200,239.3500,1
15358.0000,853.2916,0.3009,852.8834,853.8007,217.3759,0.9673,214.0529,219.3441,213.4512,0.5899,212.0282,214.5386,212.7219,0.5702,211.3758,213.8369,237.6607,0.3299,237.0800,238.2200,1
15870.0000,853.8605,0.0389,853.7696,853.9520,215.8544,0.5592,214.0329,217.3635,212.1447,0.2799,211.1289,212.6977,211.4501,0.2727,210.5642,211.9756,236.4782,0.3456,235.8900,237.0800,1
16382.0000,853.5561,0.2202,853.0031,853.8295,214.6294,0.5390,212.5226,216.2833,211.1589,0.2316,210.5593,211.6884,210.4920,0.2327,209.9446,210.9960,235.3123,0.3292,234.7600,235.8900,1
16894.0000,852.3440,0.3276,851.9052,853.0090,213.1259,0.7232,211.2124,215.0130,210.0090,0.3412,209.2306,211.1788,209.4557,0.3180,208.8253,210.5443,234.1711,0.3426,233.5600,234.7400,1
17406.0000,851.8229,0.0733,851.6638,851.9453,210.9699,0.9808,208.5820,213.1927,208.9187,0.5530,207.7521,210.4694,208.5857,0.5182,207.6261,210.3144,232.9122,0.3822,232.2600,233.5600,1
17918.0000,851.5973,0.0462,851.4996,851.7208,208.5660,0.5618,207.3518,210.4423,207.7748,0.4374,206.8731,209.0807,207.7278,0.4343,206.8467,209.2150,231.5154,0.4267,230.7900,232.2500,1
